,id,timestamp_,borrower,debt,coll,transactionHash_,block_number
0,0x6e6ed81b4f2e3f86f25031832a81f46037c38c49e49ed66451432bc0695f66e7-10,1748519530,0xe0c861df9490d12a8988e1a103cf2d6a4e56f5d0,2202000000000000000000,22269710195724246,0x6e6ed81b4f2e3f86f25031832a81f46037c38c49e49ed66451432bc0695f66e7,585017
1,0x739a96d3f2b01d63a825f8ffce22a331b9d9b0aaa1ef92f9135feb03adf72e9c-10,1748434220,0x46c748ca53cb4287c5c6c72bac6dc7f53eb23fdb,3454791540000000000000,34896143478000000,0x739a96d3f2b01d63a825f8ffce22a331b9d9b0aaa1ef92f9135feb03adf72e9c,561120
